"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"NM_001305290.1" 152.755287553467 0.473554200591205 0.104705830252627 4.52271090777511 6.10526014848539e-06 0.00117357119072238
"NM_001305310.1" 59.3960571928295 -1.47539901316947 0.309342219859098 -4.76947186142744 1.84709540763444e-06 0.000455977793905343
"NM_001305333.1" 614.13007017144 1.63767967247623 0.146795309306631 11.1562125534637 6.67761739584403e-29 6.37400839157965e-25
"NM_001305336.1" 10.9786309025618 -1.34929634338723 0.251540978779052 -5.36412138466085 8.13441899755211e-08 3.47667496140153e-05
"NM_001305362.1" 326.890986664231 1.12885961095492 0.205259890826633 5.49965999888591 3.8052428055907e-08 1.87874022380854e-05
"NM_001305372.1" 343.577158579429 0.449818532915533 0.135974959595448 3.30809830173021 0.000939318320926573 0.04387980332472
"NM_001305373.1" 211.387455793961 1.09388207755119 0.315365611087372 3.4686155975584 0.000523147407141019 0.0303256055686037
"NM_001305381.2" 44.5012121345287 -0.642319107943488 0.194346308364617 -3.30502345708785 0.000949684513448864 0.0441571192940489
"NM_001308861.1" 15.1476332455689 -0.796160538647958 0.232481212269387 -3.42462313782763 0.000615652776240789 0.0339666113302109
"NM_001308913.1" 1527.16220182708 8.05450093838451 0.861778267013704 9.34637278136005 9.07050637098925e-21 2.59743020439648e-17
"NM_001308924.1" 242.32522982229 5.54220235330129 0.743942591140809 7.44977155401538 9.35019945037058e-14 1.16414048461223e-10
"XM_011413703.3" 324.003845819147 -1.06366852896727 0.211350736565513 -5.03271739787652 4.83575730407321e-07 0.000150518202347218
"XM_011413737.3" 30.9390066140201 -1.33941019986995 0.392791833128566 -3.40997466571955 0.000649689142098603 0.0349052500434064
"XM_011413748.3" 560.923429220177 0.370432764235837 0.094153972350992 3.93432964097275 8.34292179451125e-05 0.00868756030936815
"XM_011414124.3" 6.91539121073682 1.40209470514799 0.365492535073465 3.8361787741196 0.000124963458436624 0.0113060957557192
