target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0	0
NM_001305290.1	963	864	203	208.644
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	4	1.60293
NM_001305293.1	2561	2462	220	79.3522
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	243	60.9231
NM_001305296.1	1113	1014	545	477.29
NM_001305297.1	2361	2262	1	0.392583
NM_001305298.1	681	582	22.6029	34.4878
NM_001305299.1	1313	1214	8.25484	6.03829
NM_001305300.1	2361	2262	5	1.96292
NM_001305301.1	5652	5553	150.985	24.1451
NM_001305302.1	1626	1527	2	1.16309
NM_001305303.1	1254	1155	13	9.99506
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	32.6397	8.68589
NM_001305306.1	1631	1532	1	0.579649
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	2.53108	1.3532
NM_001305309.1	1685	1586	0	0
NM_001305310.1	833	734	52	62.9117
NM_001305311.1	1912	1813	4	1.95923
NM_001305312.1	3517	3418	83.922	21.8036
NM_001305313.2	1779	1680	1353.67	715.53
NM_001305314.1	524	425	1381	2885.55
NM_001305315.1	1100	1001	14	12.4199
NM_001305316.1	3845	3746	3	0.711177
NM_001305317.1	1655	1556	22	12.5556
NM_001305318.1	772	673	2895	3819.95
NM_001305319.1	2422	2323	20	7.64548
NM_001305320.1	1257	1158	10	7.66859
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	7.32224	3.5034
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	141.86	108.505
NM_001305326.1	2144	2045	1	0.434241
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	67	45.0398
NM_001305329.1	3088	2989	2.75599	0.818795
NM_001305330.1	1983	1884	28	13.1978
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	306	106.646
NM_001305333.1	1727	1628	1174	640.38
NM_001305334.1	1170	1071	0	0
NM_001305335.1	1420	1321	108	72.6014
NM_001305336.1	1301	1202	14	10.343
NM_001305337.1	3182	3083	181	52.135
NM_001305338.1	561	462	626	1203.25
NM_001305339.1	1063	964	21	19.3449
NM_001305340.1	1914	1815	265	129.656
NM_001305341.1	3018	2919	21.7862	6.62784
NM_001305342.1	1568	1469	25	15.1127
NM_001305343.1	381	282	1082	3407.24
NM_001305344.1	1713	1614	3	1.6506
NM_001305345.1	478	379	2.46335	5.7718
NM_001305346.1	794	695	152.304	194.603
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	2	0.356994
NM_001305349.1	2016	1917	7.82823	3.62631
NM_001305350.1	1904	1805	3.67758	1.80929
NM_001305351.1	1392	1293	2	1.37359
NM_001305352.1	874	775	2236	2562.09
NM_001305353.1	1804	1705	1	0.520835
NM_001305354.1	2065	1966	24.9055	11.2496
NM_001305355.1	2154	2055	961.369	415.435
NM_001305356.1	5728	5629	86.8614	13.7031
NM_001305358.1	1594	1495	43	25.5418
NM_001305359.1	1918	1819	11.0433	5.39127
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	8	8.00021
NM_001305362.1	2744	2645	887	297.798
NM_001305363.1	1608	1509	1084	637.917
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	45	27.6165
NM_001305367.1	523	424	440.996	923.619
NM_001305368.2	1716	1617	13.8577	7.61036
NM_001305369.2	583	484	2670	4898.8
NM_001305370.1	1788	1689	48.4488	25.4729
NM_001305371.1	1531	1432	2	1.24026
NM_001305372.1	792	693	719	921.34
NM_001305373.1	1593	1494	199	118.284
NM_001305375.1	527	428	22	45.646
NM_001305376.1	674	575	427.787	660.668
NM_001305377.1	3063	2964	50.4419	15.1125
NM_001305378.1	3255	3156	20.3688	5.7313
NM_001305379.1	5926	5827	35	5.33393
NM_001305380.1	2571	2472	11.6292	4.17759
NM_001305381.2	1961	1862	49	23.369
NM_001308835.1	2208	2109	5	2.10532
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	150	100.912
NM_001308844.1	1404	1305	0	0
NM_001308845.1	1170	1071	1	0.829153
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	2.03163	1.2741
NM_001308857.1	1022	923	21	20.2042
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	29	41.403
NM_001308865.1	1958	1859	1	0.477688
NM_001308866.2	1811	1712	4	2.07482
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	37	15.1694
NM_001308876.1	1452	1353	179	117.484
NM_001308878.1	2290	2191	44.3112	17.9595
NM_001308879.1	2688	2589	87	29.8409
NM_001308882.2	1264	1165	84	64.0291
NM_001308885.1	1854	1755	1	0.505996
NM_001308886.1	3234	3135	247	69.9654
NM_001308888.2	637	538	689.227	1137.64
NM_001308889.1	1663	1564	461	261.751
NM_001308892.1	549	450	2	3.94677
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	0	0
NM_001308902.1	785	686	1	1.29449
NM_001308905.1	1535	1436	47	29.0648
NM_001308906.2	2136	2037	0.225337	0.0982349
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	33	16.8709
NM_001308913.1	2259	2160	7.02761	2.8892
NM_001308915.1	1541	1442	15	9.23741
NM_001308918.1	965	866	2.50746	2.57123
NM_001308924.1	3079	2980	7	2.08596
NM_001319969.1	1722	1623	28	15.3202
NM_001319970.1	1068	969	91	83.3953
NM_001367274.1	1042	943	0.00015033	0.000141566
NM_001367275.1	1033	934	6.94449	6.60264
NM_001367293.1	2261	2162	127.667	52.4383
NM_001367294.1	2136	2037	453.118	197.535
NM_001367295.1	2230	2131	0	0
NM_001367296.1	2105	2006	70.5311	31.2229
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	1	0.269752
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.112053	0.0187994
XM_011413590.3	5222	5123	37.9994	6.58683
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	0	0
XM_011413602.3	3013	2914	9	2.74269
XM_011413623.3	1877	1778	43	21.4764
XM_011413624.3	2409	2310	15	5.76638
XM_011413626.3	5017	4918	3	0.541698
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	27	24.2678
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0	0
XM_011413649.3	806	707	1292	1622.81
XM_011413651.3	3224	3125	3	0.852502
XM_011413652.3	3776	3677	187.412	45.2614
XM_011413653.3	3811	3712	0.00462104	0.00110549
XM_011413654.3	3795	3696	0.583264	0.140138
XM_011413655.3	2831	2732	0	0
XM_011413656.3	5026	4927	0	0
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0	0
XM_011413659.3	4990	4891	0	0
XM_011413660.3	4856	4757	2.81784	0.526027
XM_011413662.3	1889	1790	4	1.98441
XM_011413664.3	2379	2280	5.43801	2.11802
XM_011413665.3	2523	2424	47	17.2183
XM_011413666.3	2845	2746	21.1407	6.83665
XM_011413667.3	2122	2023	9.86026e-09	4.32829e-09
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	0	0
XM_011413671.3	2089	1990	0.985897	0.439949
